,Unnamed: 0,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Published Date,Maturity Rating,Description,Country,Retail Price,Currency
10,10,196915235,"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,"Weaver, Brynne",,0,0,5,4.01,Zando,Kindle Edition,355,2023,2025-11-06,2025-11-05,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
11,11,55596771,"Speaking Bones (The Dandelion Dynasty, #4)",Ken Liu,"Liu, Ken",,1982148977,9781982148973,0,4.54,Gallery / Saga Press,Hardcover,1047,2022,,2024-05-17,currently-reading,currently-reading (#1),currently-reading,,,,2,0,2022-06-21,NOT_MATURE,"""The concluding book of the Dandelion Dynasty begins in the middle of two wars on two landsamong three peoples separated by an ocean yet held together by invisible strnds of love and ideals. Harried by Lyucu pursuers, Princess Thâera and Pâekyu Takval try to reestablish an ancestral dream even as their hearts grow in doubt. The people of Dara continue the struggle against the genocidal Lyucu as bon nations vacillate between starkly contrasting visions for their futures. Even the gods cannot see through the Wall of Storms, for only mortal hearts can decide mortal fates."" -- From jacket flap",US,,
12,12,226955282,Dating After the End of the World,Jeneva Rose,"Rose, Jeneva",,1662520212,9781662520211,5,3.89,Montlake,Kindle Edition,295,2025,2025-11-05,2025-10-25,,,read,,,,1,0,,,,,,
13,13,52616342,The Perfect Son,Freida McFadden,"McFadden, Freida",,0,0,4,4.0,Hollywood Upstairs Press,Kindle Edition,373,2019,2025-11-06,2025-11-04,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
14,14,36337550,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,0,0,4,3.78,Sourcebooks Landmark,Hardcover,432,2018,2025-11-04,2025-10-30,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
15,15,623976,"Alcatraz Versus the Evil Librarians (Alcatraz, #1)",Brandon Sanderson,"Sanderson, Brandon",,0439925509,9780439925501,4,3.92,Scholastic Press,Hardcover,308,2007,2025-11-05,2025-11-04,,,read,,,,1,0,2007-01-01,NOT_MATURE,"A hero with an incredible talent...for breaking things. A life-or-death mission...to rescue a bag of sand. A fearsome threat from the powerful secret network that rules the world...the Evil Librarians. Alcatraz Smedry doesn't seem destined for anything but disaster. On his thirteenth birthday, he receives a bag of sand, and his life takes a bizarre turn. This is no ordinary bag of sand...so it's too bad that Alcatraz doesn't keep a closer eye on it. It is quickly stolen by the Evil Librarians who secretly rule the world by spreading misinformation and suppressing truth. The bag of sand will give the Evil Librarians the edge they need to achieve world domination. Alcatraz must stop them...by infiltrating the local library, armed with nothing but eyeglasses and a talent for klutziness.",US,,
16,16,60387416,"The Children of Gods and Fighting Men (Gael Song, #1)",Shauna Lawless,"Lawless, Shauna",,0,0,0,4.08,Head of Zeus,Kindle Edition,416,2022,,2025-11-02,to-read,to-read (#49),to-read,,,,0,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
17,17,56269205,"Empire of the Vampire (Empire of the Vampire, #1)",Jay Kristoff,"Kristoff, Jay",Bon Orthwick,1250245281,9781250245281,0,4.33,St. Martin's Press,Hardcover,739,2021,,2025-11-02,to-read,to-read (#48),to-read,,,,0,0,2021-09-14,NOT_MATURE,"From New York Times bestselling author Jay Kristoff comes Empire of the Vampire, the first illustrated volume of an astonishing new dark fantasy saga. From holy cup comes holy light; The faithful hand sets world aright. And in the Seven Martyrs’ sight, Mere man shall end this endless night. It has been twenty-seven long years since the last sunrise. For nearly three decades, vampires have waged war against humanity; building their eternal empire even as they tear down our own. Now, only a few tiny sparks of light endure in a sea of darkness. Gabriel de León is a silversaint: a member of a holy brotherhood dedicated to defending realm and church from the creatures of the night. But even the Silver Order could not stem the tide once daylight failed us, and now, only Gabriel remains. Imprisoned by the very monsters he vowed to destroy, the last silversaint is forced to tell his story. A story of legendary battles and forbidden love, of faith lost and friendships won, of the Wars of the Blood and the Forever King and the quest for humanity’s last remaining hope: The Holy Grail.",US,,
18,18,35606041,"A Little Hatred (The Age of Madness, #1)",Joe Abercrombie,"Abercrombie, Joe",,031618716X,9780316187169,0,4.45,Orbit,Hardcover,480,2019,,2025-11-02,to-read,to-read (#47),to-read,,,,0,0,2019-09-17,NOT_MATURE,"From New York Times bestselling author Joe Abercrombie comes the first book in a new blockbuster fantasy trilogy where the age of the machine dawns, but the age of magic refuses to die. The chimneys of industry rise over Adua and the world seethes with new opportunities. But old scores run deep as ever. On the blood-soaked borders of Angland, Leo dan Brock struggles to win fame on the battlefield, and defeat the marauding armies of Stour Nightfall. He hopes for help from the crown. But King Jezal's son, the feckless Prince Orso, is a man who specializes in disappointments. Savine dan Glokta - socialite, investor, and daughter of the most feared man in the Union - plans to claw her way to the top of the slag-heap of society by any means necessary. But the slums boil over with a rage that all the money in the world cannot control. The age of the machine dawns, but the age of magic refuses to die. With the help of the mad hillwoman Isern-i-Phail, Rikke struggles to control the blessing, or the curse, of the Long Eye. Glimpsing the future is one thing, but with the guiding hand of the First of the Magi still pulling the strings, changing it will be quite another... For more from Joe Abercrombie, check out: The First Law TrilogyThe Blade ItselfBefore They Are HangedLast Argument of Kings Best Served ColdThe HeroesRed Country The Shattered Sea TrilogyHalf a KingHalf a WorldHalf a War",US,,
19,19,26114463,Nevernight (The Nevernight Chronicle #1),Jay Kristoff,"Kristoff, Jay",,1250073022,9781250073020,0,4.22,St. Martin's Press,Hardcover,427,2016,,2025-11-02,to-read,to-read (#46),to-read,,,,0,0,2016-08-09,NOT_MATURE,A thrilling new series from acclaimed fantasy author Jay Kristoff: an assassin must decide on the price of revenge.,US,,
20,20,50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,1635575583,9781635575583,5,4.64,Bloomsbury Publishing,Paperback,626,2016,2025-10-23,2025-10-23,,,read,,,,2,0,2020-06-02,NOT_MATURE,"Though Feyre now has the powers of the High Fae, her heart remains human, but as she navigates the feared Night Court's dark web of politics, passion, and dazzling power, a greater evil looms--and she might be key to stopping it.",US,,
21,21,60531410,"The Frugal Wizard’s Handbook for Surviving Medieval England (Secret Projects, #2)",Brandon Sanderson,"Sanderson, Brandon",Steve Argyle,1938570332,9781938570339,4,3.76,Dragonsteel Entertainment,Hardcover,399,2023,2025-10-27,2025-10-23,,,read,,,,1,0,2023-04-01,NOT_MATURE,,US,,
22,22,230824619,"Death Row (Alibis Collection, #1)",Freida McFadden,"McFadden, Freida",,1662532261,9781662532269,3,3.55,Amazon Original Stories,Kindle Edition,74,2025,,2025-10-22,,,read,,,,2,0,,,,,,
